latitude,longitude,prr_percent,dli_avg,drr_percent,baseline_power_mwh,achieved_power_mwh,power_ratio_percent
42.53,-79.66,89.53996042551502,19.99999980000012,99.9999990000006,8631.676884494083,7728.80006643433,89.53996042551502
42.45,-79.66,88.6559619458385,19.999999800000943,99.99999900000472,8563.582662510124,7592.126586475399,88.6559619458385
42.37,-79.66,87.69635808414165,19.999999800000133,99.99999900000066,8636.537686825091,7573.929015909978,87.69635808414165
42.29,-79.66,91.55955841203848,19.999999800000193,99.99999900000095,8812.776166263931,8068.93894167263,91.55955841203848
42.17,-79.66,93.50664012682111,19.999999800000065,99.99999900000033,9038.103190875618,8451.226624982799,93.50664012682111
42.09,-79.66,94.15374060357065,19.999999800000076,99.99999900000039,9070.635787841862,8540.342890779273,94.15374060357065
42.01,-79.66,94.21647276047231,19.999999800000065,99.99999900000033,9091.229530845158,8565.435794520743,94.21647276047231
42.53,-79.58,89.29953015961812,19.99999980000025,99.99999900000125,8580.859590595408,7662.66729805823,89.29953015961812
42.45,-79.58,87.8221321617229,19.999999800000225,99.99999900000113,8485.43702340739,7452.091717196605,87.8221321617229
42.37,-79.58,86.46951074789044,19.999999800000133,99.99999900000066,8537.007454220658,7381.908578175541,86.46951074789044
42.29,-79.58,94.0453005153129,19.999999800000143,99.99999900000071,9034.420091645523,8496.44752500384,94.0453005153129
42.17,-79.58,93.78213546624818,19.99999980000015,99.99999900000076,9060.777761776133,8497.390874844581,93.78213546624818
42.09,-79.58,94.09213983939743,19.999999800000037,99.99999900000019,9071.408673264614,8535.482534251367,94.09213983939743
42.01,-79.58,93.9008243234645,19.99999980000017,99.99999900000086,9018.207037975182,8468.170747855387,93.9008243234645
42.53,-79.5,88.2717580082526,19.99999980000017,99.99999900000086,8517.535882993056,7518.578662901712,88.2717580082526
42.45,-79.5,87.13943044589703,19.999999800000268,99.99999900000134,8494.505569768473,7402.063772691248,87.13943044589703
42.37,-79.5,89.0881607518672,19.999999800000158,99.99999900000078,8667.308734808481,7721.545938526808,89.0881607518672
42.29,-79.5,93.87178523795819,19.99999980000004,99.9999990000002,9024.286600876696,8471.25893723281,93.87178523795819
42.17,-79.5,93.0539921369884,19.999999800000165,99.99999900000083,8992.754903118084,8368.11744044614,93.0539921369884
42.09,-79.5,94.30691403061698,19.99999980000007,99.99999900000034,9102.892611960095,8584.65710986059,94.30691403061698
42.01,-79.5,93.72208784040315,19.99999980000007,99.99999900000034,8995.89438243762,8431.140035138078,93.72208784040315
42.65,-79.42,89.01761952654648,19.99999980000012,99.9999990000006,8591.663618432493,7648.094430856952,89.01761952654648
42.53,-79.42,87.40850628437738,19.99999980000021,99.99999900000105,8491.057256092156,7421.906315301393,87.40850628437738
42.45,-79.42,87.10754003684241,19.99999980000008,99.9999990000004,8542.009929442227,7440.73471923994,87.10754003684241
42.37,-79.42,93.70165613653913,19.999999800000285,99.99999900000142,8991.362794332843,8425.055847534479,93.70165613653913
42.29,-79.42,93.77543023693362,19.999999800000072,99.99999900000036,9036.945666092277,8474.43467865596,93.77543023693362
42.17,-79.42,89.93787361048801,19.999999800000033,99.99999900000016,8750.563980614901,7870.071173090319,89.93787361048801
42.09,-79.42,93.19287502167968,19.999999800000246,99.99999900000122,8957.197577627156,8347.469943962995,93.19287502167968
42.01,-79.42,94.18839036113148,19.999999800000055,99.99999900000027,9024.425284312989,8499.960914637368,94.18839036113148
42.65,-79.3,88.88852918224384,19.999999800000218,99.9999990000011,8576.333739894373,7623.376919152634,88.88852918224384
42.53,-79.3,85.97168016048651,19.99999980000004,99.9999990000002,8535.069164033366,7337.742363179075,85.97168016048651
42.45,-79.3,92.79793512711429,19.999999800000136,99.99999900000068,8863.51592154487,8225.159754856653,92.79793512711429
42.37,-79.3,93.54339379661442,19.999999800000186,99.99999900000093,9006.755923404255,8425.225161729939,93.54339379661442
42.29,-79.3,94.32944672590334,19.99999980000017,99.99999900000086,9044.766122022564,8531.877840555828,94.32944672590334
42.17,-79.3,95.08322660203237,19.999999800000083,99.99999900000041,9117.356981015875,8669.077198375542,95.08322660203237
42.09,-79.3,90.06504064372733,19.99999980000021,99.99999900000105,8728.523379200291,7861.348129073984,90.06504064372733
42.01,-79.3,94.63293995093679,19.999999800000232,99.99999900000117,9034.002399436009,8549.142065824466,94.63293995093679
42.65,-79.22,87.9357302234337,19.99999980000003,99.99999900000014,8490.485500663392,7466.170424523114,87.9357302234337
42.53,-79.22,87.66494710170689,19.999999800000033,99.99999900000016,8608.399188381365,7546.54859479829,87.66494710170689
42.45,-79.22,93.12974353627142,19.999999800000094,99.99999900000047,8985.592842544735,8368.259569475473,93.12974353627142
42.37,-79.22,93.66777245869739,19.999999800000083,99.99999900000041,9048.494319028054,8475.523069685356,93.66777245869739
42.29,-79.22,94.08031593368847,19.999999800000037,99.99999900000019,9063.261847957936,8526.745380456277,94.08031593368847
42.17,-79.22,94.78487990837617,19.99999979999998,99.99999899999989,9053.870962231316,8581.700718610295,94.78487990837617
42.09,-79.22,93.80210441367464,19.99999980000009,99.99999900000046,8957.91093891785,8402.708972207703,93.80210441367464
42.01,-79.22,94.1644767128823,19.999999800000083,99.99999900000041,8995.304952656923,8470.381837397377,94.1644767128823
43.45,-79.14,92.53776558880001,19.99999980000004,99.9999990000002,8933.957137592839,8267.284313789527,92.53776558880001
43.37,-79.14,92.19736100784172,19.999999800000325,99.99999900000162,8906.307083443164,8211.380094189071,92.19736100784172
