latitude,longitude,dli_target_found,dli_avg,drr_percent
40.53,-74.06,21.8359375,21.83593728164078,99.99999900000071
41.25,-72.02,21.8359375,21.83593728164067,99.9999990000002
40.97,-73.22,21.8359375,21.835937281640845,99.99999900000101
40.77,-72.5,21.8359375,21.83593728164072,99.99999900000044
40.97,-72.46,21.8359375,21.83593728164075,99.99999900000057
40.57,-73.54,21.97265625,21.972656030273516,99.99999900000036
40.53,-73.86,21.5625,21.562499784375323,99.9999990000015
40.93,-72.3,22.51953125,22.519531024804742,99.99999900000024
41.21,-72.3,21.5625,21.562499784375195,99.99999900000091
40.89,-73.7,21.42578125,21.4257810357424,99.999999000001
40.65,-73.3,22.109375,22.10937477890639,99.99999900000063
40.85,-72.94,21.69921875,21.699218533007873,99.99999900000027
40.77,-73.02,22.109375,22.109374778906304,99.99999900000024
41.13,-72.46,22.109375,22.109374778907085,99.99999900000378
40.93,-73.58,21.2890625,21.289062287109466,99.99999900000043
41.21,-73.54,21.69921875,21.699218533007876,99.9999990000003
40.97,-73.66,21.15234375,21.152343538476696,99.99999900000063
40.85,-73.86,21.5625,21.562499784375227,99.99999900000105
40.97,-72.7,22.3828125,22.382812276172306,99.99999900000192
40.97,-72.42,22.109375,22.109374778906513,99.9999990000012
40.57,-74.1,21.42578125,21.425781035742368,99.99999900000084
41.01,-73.86,21.5625,21.562499784375476,99.9999990000022
41.05,-72.78,22.109375,22.10937477890637,99.99999900000056
40.93,-72.42,22.3828125,22.382812276172576,99.99999900000313
41.09,-71.98,22.24609375,22.246093527539205,99.99999900000064
40.93,-73.14,22.109375,22.10937477890634,99.9999990000004
41.09,-72.78,21.97265625,21.972656030273637,99.99999900000091
41.05,-72.14,21.97265625,21.972656030273576,99.99999900000063
40.85,-73.82,21.5625,21.562499784375063,99.9999990000003
40.85,-73.1,22.109375,22.10937477890627,99.99999900000009
40.77,-73.14,22.109375,22.109374778906425,99.9999990000008
41.09,-72.42,22.109375,22.109374778906318,99.9999990000003
41.09,-73.86,21.42578125,21.425781035742297,99.9999990000005
41.01,-73.74,21.5625,21.562499784374992,99.99999899999996
41.29,-74.1,21.69921875,21.699218533008096,99.99999900000131
41.21,-72.14,21.69921875,21.699218533008032,99.99999900000101
